English Word	Is Important	Pronunciation	POS Symbol	Part of Speech	Japanese Translation	Origin	Reference Page
court	FALSE	[kɔərt]	A	Noun	(テニスなどの) コート, 中庭	1	1
cousin	TRUE	[kʌ́zn]	A	Noun	いとこ	52	52
cow	FALSE	[kau]	A	Noun	雌牛	1	1
crab	FALSE	[kræb]	A	Noun	カニ	1	1
creamy	FALSE	[kríːmi]	K	Adjective	クリーム状の, なめらかな	43	43
create	FALSE	[kriéit]	B	Verb	作り出す, 生み出す	1	1
creative	FALSE	[kriéitiv]	K	Adjective	創造的な	1	1
creature	FALSE	[kríːtʃər]	A	Noun	生き物	81	81
crew	FALSE	[kruː]	A	Noun	乗組員	126	126
crispy	FALSE	[kríspi]	K	Adjective	かりかり[さくさく]した	1	1
crocodile	FALSE	[krάkədàil]	A	Noun	クロコダイル	1	1
cry	TRUE	[krai]	B	Verb	泣く	13	13
culture	TRUE	[kʌ́ltʃər]	A	Noun	文化	31	31
cup	TRUE	[kʌp]	A	Noun	カップ, 茶わん	1	1
curry and rice	FALSE	[kə́ːri ænd ráis]	A	Noun	カレーライス	1	1
curtain	FALSE	[kə́ːrtn]	A	Noun	カーテン	83	83
custard pudding	FALSE	[kʌ́stərd púdiŋ]	A	Noun	カスタードプリン	1	1
customer	FALSE	[kʌ́stəmər]	A	Noun	(店の) 客	42	42
cut	TRUE	[kʌt]	B	Verb	切る	1	1
cut ~ off	FALSE	—	—	—	〜を切り離す	80	80
cut ~ down	FALSE	—	—	—	〜を切り倒す	57	57
cute	TRUE	[kjuːt]	K	Adjective	かわいい	1	1
cycle	FALSE	[sáikl]	B	Verb	自転車に乗る, サイクリングをする	21	21
go cycling	FALSE	—	—	—	サイクリングに行く	21	21
dad	TRUE	[dæd]	A	Noun	お父さん (＝daddy)	1	1
damage	FALSE	[dǽmidʒ]	B	Verb	〜に損害を与える	126	126
dance	TRUE	[dæns]	B	Verb	踊る	1	1
dance	TRUE	[dæns]	A	Noun	ダンス, 踊り	57	57
dangerous	FALSE	[déindʒərəs]	K	Adjective	危険な	120	120
Daniel	FALSE	[dǽnjəl]	A	Noun	ダニエル (男子の名)	1	1
date	FALSE	[deit]	A	Noun	日付, デート	1	1
day	TRUE	[dei]	A	Noun	日, 1日	1	1
~ day(s) a week	FALSE	—	—	—	週に〜日	57	57
every day	FALSE	—	—	—	毎日	1	1
in those days	FALSE	—	—	—	その当時は	120	120
One day, ~	FALSE	—	—	—	ある日〜	1	1
daytime	FALSE	[déitàim]	A	Noun	昼間 (↔︎ nighttime)	93	93
dead	FALSE	[ded]	K	Adjective	死んでいる	93	93
The dead	FALSE	—	—	—	死者	93	93
dear	TRUE	[diər]	K	Adjective	親愛なる〜 (手紙の書き出しに用いる)	1	1
Dear ~,	FALSE	—	—	—	親愛なる〜へ	1	1
December	TRUE	[disémbər]	A	Noun	12月	1	1
decide	TRUE	[disáid]	B	Verb	決める, 決心する	70	70
deep	FALSE	[diːp]	K	Adjective	深い	1	1
deep-fried	FALSE	[díːpfráid]	K	Adjective	油で揚げた	N	N
deeply	FALSE	[díːpli]	G	Adverb	深く	47	47
degree	FALSE	[digríː]	A	Noun	(温度などの) 度	29	29
delicious	TRUE	[dilíʃəs]	K	Adjective	とてもおいしい	1	1
department store	FALSE	[dipάːrtmənt stɔ́ːr]	A	Noun	デパート	132	132
depend	FALSE	[dipénd]	B	Verb	〜による	1	1
design	FALSE	[dizáin]	A	Noun	デザイン, 図柄	130	130
design	FALSE	[dizáin]	B	Verb	デザインする, 設計する	1	1
desk	TRUE	[desk]	A	Noun	机	1	1
develop	FALSE	[divéləp]	B	Verb	開発する	80	80
did	FALSE	[did]	B	Verb	(do の過去形)	1	1
didn't	FALSE	[dídnt]	—	—	(did not の短縮形)	1	1
die	FALSE	[dai]	B	Verb	死ぬ	93	93
different	TRUE	[dífərənt]	K	Adjective	違った	46	46
difficult	TRUE	[dífikʌ̀lt]	K	Adjective	難しい	1	1
dinner	TRUE	[dínər]	A	Noun	夕食	1	1
dirty	FALSE	[də́ːrti]	K	Adjective	汚い	131	131
disappointed	FALSE	[dìsəpɔ́intid]	K	Adjective	がっかりした	130	130
dish	TRUE	[diʃ]	A	Noun	皿	1	1
do the dishes	FALSE	—	—	—	皿を洗う	132	132
display	FALSE	[displéi]	B	Verb	〜を展示[陳列]する, ディスプレーする	88	88
do	TRUE	[duː, də]	B	Verb	〜する	1	1
do	TRUE	[duː, də]	M	Auxiliary verb	(疑問文・否定文で使う)	1	1
do	TRUE	[duː, də]	M	Auxiliary verb	(動詞の代わり)	13	13
do the dishes	FALSE	—	—	—	皿を洗う	132	132
doctor	TRUE	[dάktər]	A	Noun	医者, 博士	1	1
documentary	FALSE	[dὰkjəménṭəri]	A	Noun	ドキュメンタリー(映画･テレビなどの記録作品)	129	129
does	FALSE	[dʌz, dəz]	M	Auxiliary verb	(主語が三人称単数のときの do の現在形)	1	1
doesn't	FALSE	[dʌ́znt]	—	—	(does not の短縮形)	1	1
dog	TRUE	[dɔːg]	A	Noun	イヌ	1	1
doll	FALSE	[dɑl]	A	Noun	人形	46	46
dollar	FALSE	[dάlər]	A	Noun	ドル (アメリカ, カナダ, オーストラリア, ニュージーランドなどの貨幣単位)	1	1
dolphin	FALSE	[dάlfin]	A	Noun	イルカ	39	39
donate	FALSE	[dóuneit]	B	Verb	寄付する	1	1
don't	FALSE	[dount]	—	—	(do not の短縮形)	1	1
don't have to ~	FALSE	—	—	—	〜する必要はない	52	52
donut	FALSE	[dóunət]	A	Noun	ドーナツ	1	1
door	TRUE	[dɔːr]	A	Noun	ドア, 戸	1	1
down	TRUE	[daun]	G	Adverb	下に[へ]	1	1
dragon fruit	FALSE	[drǽgən frúːt]	A	Noun	ドラゴンフルーツ (くだもの)	109	109
drama	FALSE	[drάːmə]	A	Noun	演劇, ドラマ	1	1
draw	TRUE	[drɔː]	B	Verb	(線で絵) を描く	1	1
drawn	FALSE	[drɔːn]	B	Verb	(draw の過去分詞)	116	116
dream	TRUE	[driːm]	A	Noun	夢	1	1
dream	TRUE	[driːm]	B	Verb	夢を見る, 理想	1	1
drew	FALSE	[druː]	B	Verb	(draw の過去形)	1	1
dribble	FALSE	[dríbl]	B	Verb	ドリブルする	116	116
drink	TRUE	[driŋk]	B	Verb	飲む	1	1
drone	FALSE	[droun]	A	Noun	ドローン (小型の無人機)	89	89
drugstore	FALSE	[drʌ́gstɔ̀ːr]	A	Noun	ドラッグストア, 薬局	132	132
drum	FALSE	[drʌm]	A	Noun	太鼓	47	47
dry	FALSE	[drai]	K	Adjective	乾いた	1	1
during	FALSE	[djúəriŋ]	D	Preposition	〜の間(ずっと)	37	37
Dutch	FALSE	[dʌtʃ]	G	Adverb	オランダの (オランダ人の)	1	1
each	FALSE	[iːtʃ]	K	Adjective	それぞれの	37	37
each other	FALSE	—	—	—	おたがい	94	94
ear	TRUE	[iər]	A	Noun	耳	1	1
early	TRUE	[ə́ːrli]	G	Adverb	(時間が) 早く	1	1
early	TRUE	[ə́ːrli]	K	Adjective	(時間が) 早い	131	131
earn	FALSE	[əːrn]	B	Verb	得る, 稼ぐ	64	64
earthquake	FALSE	[ə́ːrθkwèik]	A	Noun	地震	1	1
east	TRUE	[iːst]	A	Noun	東	94	94
eastern	FALSE	[íːstərn]	K	Adjective	東部の	21	21
easy	TRUE	[íːzi]	K	Adjective	簡単な	39	39
easily	FALSE	[íːzəli]	G	Adverb	簡単に	1	1
eat	TRUE	[iːt]	B	Verb	食べる	1	1
eaten	FALSE	[íːtn]	B	Verb	(eat の過去分詞)	42	42
eco-friendly	FALSE	[íːkoufrèndli]	K	Adjective	環境に配慮した, 環境にやさしい	1	1
effect	FALSE	[ifékt]	A	Noun	効果, 影響	25	25
effort	FALSE	[éfərt]	A	Noun	努力	83	83
egg	TRUE	[eg]	A	Noun	卵	1	1
eight	TRUE	[eit]	K	Adjective	8の	1	1
eighteen	FALSE	[èitíːn]	K	Adjective	18の	1	1
eighteenth	FALSE	[èitíːnθ]	K	Adjective	18番目の	1	1
eighth	FALSE	[eitθ]	K	Adjective	8番目の	1	1
eighty	FALSE	[éiti]	K	Adjective	80の	1	1
either	FALSE	[íːðər]	G	Adverb	(〜も) また (〜ない)	12	12
electric guitar	FALSE	[iléktrik gitάːr]	A	Noun	エレキギター	131	131
elevator	FALSE	[éləvèitər]	A	Noun	エレベーター	1	1
elementary school	FALSE	[èləméntəri skúːl]	A	Noun	小学校	1	1
eleven	TRUE	[ilévn]	K	Adjective	11の	1	1
eleventh	FALSE	[ilévnθ]	K	Adjective	11番目の	1	1
else	FALSE	[els]	G	Adverb	ほかに[の]	1	1
email	TRUE	[íːmeil]	A	Noun	Eメール, 電子メール	1	1
embarrassed	FALSE	[imbǽrəst]	K	Adjective	恥ずかしい	130	130
embassy	FALSE	[émbəsi]	A	Noun	大使館	1	1
emergency	FALSE	[imə́ːrdʒənsi]	A	Noun	非常[緊急]事態	125	125
Emily	FALSE	[éməli]	A	Noun	エミリー (女子の名)	1	1
emotional	FALSE	[imóuʃənl]	K	Adjective	感情的な, 感動させる	1	1
empty	FALSE	[émpti]	K	Adjective	からの	52	52
end	TRUE	[end]	B	Verb	終わる	1	1
end	TRUE	[end]	A	Noun	終わり, はし	1	1
enemy	FALSE	[énəmi]	A	Noun	敵	131	131
energy	FALSE	[énərdʒi]	A	Noun	エネルギー	83	83
engineer	FALSE	[èndʒiníər]	A	Noun	エンジニア, 技師	1	1
English	TRUE	[íŋgliʃ]	A	Noun	英語	1	1
English	TRUE	[íŋgliʃ]	K	Adjective	英語の	1	1
enjoy	TRUE	[indʒɔ́i]	B	Verb	楽しむ	1	1
enough	FALSE	[inʌ́f]	K	Adjective	十分な	93	93
enough	FALSE	[inʌ́f]	G	Adverb	十分に	1	1
enter	FALSE	[éntər]	B	Verb	入る	130	130
entrance	FALSE	[éntrəns]	A	Noun	入口, 玄関	1	1
entrance ceremony	FALSE	[éntrəns sérəmòuni]	A	Noun	入学式	130	130
environment	FALSE	[inváiərənmənt]	A	Noun	環境	120	120
eraser	TRUE	[iréısər]	A	Noun	消しゴム	21	21
Eric	FALSE	[érik]	A	Noun	エリック (男子の名)	1	1
especially	FALSE	[ispéʃəli]	G	Adverb	特に	55	55
even	FALSE	[íːvn]	G	Adverb	〜でさえ, 〜までも	1	1
evening	TRUE	[íːvniŋ]	A	Noun	夕方, 晩	1	1
event	FALSE	[ivént]	A	Noun	行事, できごと	88	88
every	TRUE	[évri]	K	Adjective	どの〜もみな, 〜ごとに	1	1
every day	FALSE	—	—	—	毎日	1	1
everyone	FALSE	[évriwʌ̀n]	E	Pronoun	だれでも, みなさん	70	70
everything	FALSE	[évriθìŋ]	E	Pronoun	すべてのこと[もの]	1	1
exactly	FALSE	[igzǽktli]	G	Adverb	正確に	1	1
examination	FALSE	[igzæ̀mənéiʃən]	A	Noun	試験	1	1
example	TRUE	[igzǽmpl]	A	Noun	例	1	1
for example	FALSE	—	—	—	たとえば	1	1
excellent	FALSE	[éksələnt]	K	Adjective	すばらしい, 非常に優れた	1	1
excited	FALSE	[iksáitid]	K	Adjective	わくわくした, 興奮した	1	1
exciting	TRUE	[iksáitiŋ]	K	Adjective	人をわくわくさせる, 興奮させる	1	1
Excuse me.	FALSE	—	—	—	すみません (注意を引く)	1	1
Excuse me, but ~.	FALSE	—	—	—	失礼ですが〜	1	1
exercise	TRUE	[éksərsàiz]	A	Noun	運動	1	1
exercise	TRUE	[éksərsàiz]	B	Verb	運動する	64	64
expensive	FALSE	[ikspénsiv]	K	Adjective	高価な	1	1
experience	FALSE	[ikspíəriəns]	A	Noun	経験	1	1
explode	FALSE	[iksplóud]	B	Verb	爆発する	125	125
explosion	FALSE	[iksplóuʒən]	A	Noun	爆発	125	125
extremely	FALSE	[ikstríːmli]	G	Adverb	きわめて	126	126
eye	TRUE	[ai]	A	Noun	目	1	1
face	TRUE	[feis]	A	Noun	顔	1	1
fact	FALSE	[fækt]	A	Noun	事実	25	25
in fact	FALSE	—	—	—	実は, 実際は	25	25
failure	FALSE	[féiljər]	A	Noun	失敗	127	127
faithful	FALSE	[féiθfl]	K	Adjective	忠実な	1	1
fall	TRUE	[fɔːl]	A	Noun	秋	71	71
fall	TRUE	[fɔːl]	B	Verb	落ちる	1	1
fall asleep	FALSE	—	—	—	眠り込む	71	71
family	TRUE	[fǽməli]	A	Noun	家族	1	1
famous	TRUE	[féiməs]	K	Adjective	有名な	1	1
be famous for ~	FALSE	—	—	—	〜で有名である	1	1
fan	TRUE	[fæn]	A	Noun	ファン	1	1
fan	TRUE	[fæn]	A	Noun	うちわ, 扇風機	1	1
fantastic	FALSE	[fæntǽstik]	K	Adjective	すばらしい	1	1
far	FALSE	[fɑːr]	G	Adverb	遠くに	1	1
farewell	FALSE	[fέərwèl]	C	Interjection	さようなら	1	1
farm	TRUE	[fɑːrm]	A	Noun	農場, 農園	73	73
farmer	FALSE	[fάːrmər]	A	Noun	農場主, 農園主	42	42
fast	TRUE	[fæst]	K	Adjective	(速度が) 速い	1	1
fast	TRUE	[fæst]	G	Adverb	速く	1	1
father	TRUE	[fάːðər]	A	Noun	父, お父さん	1	1
favorite	TRUE	[féivərit]	K	Adjective	いちばん好きな, お気に入りの	1	1
February	TRUE	[fébruèri]	A	Noun	2月	1	1
feel	TRUE	[fiːl]	B	Verb	感じる	32	32
Felipe	FALSE	[fəlípə]	A	Noun	フェリペ (男子の名)	71	71
fell	FALSE	[fel]	B	Verb	(fall の過去形)	1	1
felt	FALSE	[felt]	B	Verb	(feel の過去形・過去分詞)	27	27
festival	FALSE	[féstəvl]	A	Noun	祭り, 祭日	1	1
field trip	FALSE	[fíːld trìp]	A	Noun	校外学習, 遠足	50	50
fifteen	FALSE	[fìftíːn]	K	Adjective	15の	1	1
fifteenth	FALSE	[fìftíːnθ]	K	Adjective	15番目の	1	1
fifth	FALSE	[fifθ]	K	Adjective	5番目の	1	1
fifty	FALSE	[fífti]	K	Adjective	50の	1	1
fight	FALSE	[fait]	B	Verb	戦う	108	108
finally	FALSE	[fáinəli]	G	Adverb	ついに	85	85
find	TRUE	[faind]	B	Verb	見つける	1	1
find out	FALSE	—	—	—	わかる, 気づく	1	1
fine	TRUE	[fain]	K	Adjective	元気な	1	1
Finland	FALSE	[fínlənd]	A	Noun	フィンランド	1	1
Finnish	FALSE	[fíniʃ]	K	Adjective	フィンランド(人)の	1	1
finish	TRUE	[fíniʃ]	B	Verb	終える	1	1
fire	TRUE	[fáiər]	A	Noun	火	64	64
fire station	FALSE	[fáiər stèiʃən]	A	Noun	消防署	126	126
firefighter	FALSE	[fáiərfàitər]	A	Noun	消防士	1	1
firework	FALSE	[fáiərwə̀ːrk]	A	Noun	花火	99	99
firmly	FALSE	[fə́ːrmli]	G	Adverb	固く	1	1
first	TRUE	[fəːrst]	K	Adjective	最初の, 1番目の	1	1
first	TRUE	[fəːrst]	G	Adverb	最初に, 初めて	30	30
at first	FALSE	—	—	—	最初は	56	56
First of all,	FALSE	—	—	—	まず第一に, 何よりもまず	1	1
fish	TRUE	[fiʃ]	A	Noun	魚	1	1
fish	TRUE	[fiʃ]	B	Verb	魚をつる, つりをする	33	33
go fishing	FALSE	—	—	—	つりに行く	33	33
fishing boat	FALSE	[fíʃiŋ bòut]	A	Noun	漁船	132	132
five	TRUE	[faiv]	K	Adjective	5の	1	1
flag	TRUE	[flæg]	A	Noun	旗	20	20
flamingo	FALSE	[fləmíŋgou]	A	Noun	フラミンゴ	1	1
flash	FALSE	[flæʃ]	A	Noun	(カメラの) フラッシュ	93	93
flat tire	FALSE	[flǽt táiər]	A	Noun	パンクしたタイヤ	74	74
flight	FALSE	[flait]	A	Noun	(飛行機の) 便, 飛行	117	117
flight attendant	FALSE	[fláit ətèndənt]	A	Noun	フライトアテンダント	117	117
flip	FALSE	[flip]	B	Verb	ぱらぱらめくる	1	1
floor	TRUE	[flɔːr]	A	Noun	床, (建物の) 階	42	42
flower	TRUE	[fláuər]	A	Noun	花	1	1
flower shop	FALSE	[fláuər ʃɑ̀p]	A	Noun	花屋	132	132
flu	FALSE	[fluː]	A	Noun	インフルエンザ	1	1
fly	TRUE	[flai]	B	Verb	飛ぶ	1	1
flying fish	FALSE	[fláiiŋ fìʃ]	A	Noun	トビウオ	103	103
foggy	FALSE	[fɔ́gi]	K	Adjective	霧のかかった	1	1
follow	TRUE	[fάlou]	B	Verb	ついていく	113	113
food	TRUE	[fuːd]	A	Noun	食べ物	1	1
foot	TRUE	[fut]	A	Noun	足, (長さの単位) フート	1	1
footprint	FALSE	[fútprìnt]	A	Noun	足跡	51	51
for	TRUE	[fɔːr]	D	Preposition	〜のために	1	1
for	TRUE	[fɔːr]	D	Preposition	(利益･目的･原因･理由を表して) 〜のために	1	1
for	TRUE	[fɔːr]	D	Preposition	〜に向かって	1	1
for	TRUE	[fɔːr]	D	Preposition	〜のわりに	13	13
for	TRUE	[fɔːr]	H	Conjunction	(理由) 〜というのは	29	29
for	TRUE	[fɔːr]	H	Conjunction	(期間) 〜の間	93	93
for a while	FALSE	—	—	—	しばらくの間	47	47
for free	FALSE	—	—	—	無料で	1	1
for here or to go?	FALSE	—	—	—	こちらでめしあがりますか, お持ち帰りになりますか	1	1
for the first time	FALSE	—	—	—	初めて	33	33
first	TRUE	[fəːrst]	G	Adverb	最初に, 初めて	1	1
forecast	FALSE	[fɔ́ːrkæ̀st]	A	Noun	予報	29	29
foreign	FALSE	[fɔ́ːrin]	K	Adjective	外国の	1	1
forest	TRUE	[fɔ́ːrist]	A	Noun	森	56	56
forget	FALSE	[fərgét]	B	Verb	忘れる	12	12
forty	FALSE	[fɔ́ːrti]	K	Adjective	40の	1	1
look forward to ~	FALSE	—	—	—	〜を楽しみに待つ	36	36
foster	FALSE	[fɔ́ːstər]	B	Verb	育てる	25	25
found	FALSE	[faund]	B	Verb	(find の過去形・過去分詞)	1	1
four	TRUE	[fɔːr]	K	Adjective	4の	1	1
fourteen	FALSE	[fɔ̀ərtíːn]	K	Adjective	14の	1	1
fourteenth	FALSE	[fɔ̀ərtíːnθ]	K	Adjective	14番目の	1	1
fourth	FALSE	[fɔərθ]	K	Adjective	4番目の	1	1
fox	FALSE	[fɑks]	A	Noun	キツネ	73	73
France	TRUE	[fræns]	A	Noun	フランス	1	1
free	TRUE	[friː]	K	Adjective	自由な	20	20
free	TRUE	[friː]	G	Adverb	自由に, ひまな	1	1
free	TRUE	[friː]	D	Preposition	〜がない	64	64
for free	FALSE	—	—	—	無料で	64	64
freezing	FALSE	[fríːziŋ]	K	Adjective	凍るように寒い	126	126
French	TRUE	[frentʃ]	A	Noun	フランス語	1	1
French fries	FALSE	[fréntʃ fràiz]	A	Noun	フライドポテト	1	1
Friday	TRUE	[fráidei]	A	Noun	金曜日	1	1
fridge	FALSE	[fridʒ]	A	Noun	冷蔵庫	83	83
fried	FALSE	[fraid]	K	Adjective	油で揚げた, フライにした	103	103
fried noodle	FALSE	[fráid núːdl]	A	Noun	焼きそば	1	1
friend	TRUE	[frend]	A	Noun	友だち	1	1
friendly	FALSE	[fréndli]	K	Adjective	親切な, 人なつこい	1	1
friendship	FALSE	[fréndʃip]	A	Noun	友情	130	130
frog	FALSE	[frɔːg]	A	Noun	カエル	1	1
from	TRUE	[frʌm]	D	Preposition	〜から	1	1
front	FALSE	[frʌnt]	A	Noun	前部, 正面	1	1
be front of ~	FALSE	—	—	—	〜の前で[に]	1	1
in front of ~	FALSE	—	—	—	〜の前で[に]	1	1
fruit	TRUE	[fruːt]	A	Noun	果物	1	1
fry	FALSE	[frai]	B	Verb	油で揚げる, フライにする	103	103
full	TRUE	[ful]	K	Adjective	いっぱいの	1	1
be full of ~	FALSE	—	—	—	〜でいっぱいである	131	131
fun	TRUE	[fʌn]	A	Noun	楽しみ, 喜び	1	1
fair	FALSE	[fɛər]	A	Noun	見本市	101	101
future	TRUE	[fjúːtʃər]	A	Noun	未来, 将来	71	71
game	TRUE	[geim]	A	Noun	試合, ゲーム	1	1
gap	FALSE	[gæp]	A	Noun	割れ目, すき間	129	129
garbage	FALSE	[gάːrbidʒ]	A	Noun	生ゴミ	1	1
garden	TRUE	[gάːrdn]	A	Noun	庭, 庭園	53	53
gardening	FALSE	[gάːrdniŋ]	A	Noun	園芸	1	1
gas	TRUE	[gæs]	A	Noun	ガソリン	1	1
gas station	FALSE	[gǽs stèiʃən]	A	Noun	ガソリンスタンド	132	132
gate	TRUE	[geit]	A	Noun	門	1	1
gave	FALSE	[geiv]	B	Verb	(give の過去形)	117	117
gentle	FALSE	[dʒéntl]	K	Adjective	おだやかな	71	71
Germany	FALSE	[dʒə́ːrməni]	A	Noun	ドイツ	1	1
get	TRUE	[get]	B	Verb	得る, 手に入れる	1	1
get	TRUE	[get]	B	Verb	(ある状態に) なる	1	1
get	TRUE	[get]	B	Verb	着く, 到着する	28	28
get - place	FALSE	—	—	—	〜に着く	33	33
get on ~	FALSE	—	—	—	〜に乗る	55	55
get up	FALSE	—	—	—	起きる	1	1
get well	FALSE	—	—	—	元気になる	112	112
Ghana	FALSE	[gάːnə]	A	Noun	ガーナ	1	1
giant	FALSE	[dʒáiənt]	A	Noun	巨人	24	24
gift	TRUE	[gift]	A	Noun	贈り物	46	46
ginger ale	FALSE	[dʒíndʒər éil]	A	Noun	ジンジャーエール	1	1
girl	TRUE	[gəːrl]	A	Noun	少女, 女の子	1	1
Girl Scouts	FALSE	[gə́ːrl skáuts]	A	Noun	ガールスカウト (米国の少女団)	20	20
give	TRUE	[giv]	B	Verb	与える, あげる	1	1
give it a try	FALSE	—	—	—	やってみる	67	67
give up ~	FALSE	—	—	—	〜をあきらめる	128	128
glad	TRUE	[glæd]	K	Adjective	うれしい	1	1
glass	FALSE	[glæs]	A	Noun	ガラス	130	130
glasses	TRUE	[glǽsiz]	A	Noun	(複数形で) 眼鏡	1	1
global	FALSE	[glóubəl]	K	Adjective	地球(規模)の	129	129
glove	FALSE	[glʌv]	A	Noun	(スポーツ選手が使う) グローブ	1	1
go	TRUE	[gou]	B	Verb	行く	1	1
go bowling	FALSE	—	—	—	ボウリングに行く	129	129
go cycling	FALSE	—	—	—	サイクリングに行く	21	21
go hiking	FALSE	—	—	—	ハイキングに行く	55	55
go on ~	FALSE	—	—	—	〜し続ける	1	1
go shopping	FALSE	—	—	—	買い物に行く	1	1
go to bed	FALSE	—	—	—	寝る, 就寝する	130	130
goal	FALSE	[goul]	A	Noun	ゴール, 目標	131	131
gold	FALSE	[gould]	A	Noun	金, 金色(の)	25	25
goldfish	FALSE	[góuldfìʃ]	A	Noun	金魚	1	1
good	TRUE	[gud]	K	Adjective	よい	1	1
Good job.	FALSE	—	—	—	よくやった	69	69
goodbye	TRUE	[gùdbái]	C	Interjection	さようなら	32	32
goodwill	FALSE	[gúdwíl]	A	Noun	親善, 好意	93	93
goodwill guide	FALSE	[gúdwíl gàid]	A	Noun	善意通訳ガイド	93	93
gorilla	FALSE	[gərílə]	A	Noun	ゴリラ	1	1
gossip	FALSE	[gάsəp]	A	Noun	うわさ話	48	48
got	FALSE	[gɑt]	B	Verb	(get の過去形・過去分詞)	1	1
graduation ceremony	FALSE	[græ̀dʒuéiʃən sérəmòuni]	A	Noun	卒業式	130	130
gram	FALSE	[græm]	A	Noun	グラム	42	42
granddaughter	FALSE	[grǽndɔ̀ːtər]	A	Noun	孫娘	1	1
grandfather	TRUE	[grǽndfὰːðər]	A	Noun	祖父, おじいさん	1	1
grandma	FALSE	[grǽnmɑː]	A	Noun	おばあちゃん	1	1
grandmother	TRUE	[grǽndmʌ̀ðər]	A	Noun	祖母, おばあさん	1	1
grandpa	FALSE	[grǽnpɑː]	A	Noun	おじいちゃん	1	1
grandparent	FALSE	[grǽndpέərənt]	A	Noun	祖父[祖母]	1	1
grape	FALSE	[greip]	A	Noun	ブドウ	1	1
grapefruit	FALSE	[gréipfrùːt]	A	Noun	グレープフルーツ	1	1
grass	FALSE	[græs]	A	Noun	草	105	105
gray	FALSE	[grei]	K	Adjective	灰色(の)	18	18
great	TRUE	[greit]	K	Adjective	すばらしい	1	1
great	TRUE	[greit]	K	Adjective	偉大な	129	129
Great Barrier Reef	FALSE	[gréit bǽriər ríːf]	A	Noun	グレートバリアリーフ (オーストラリア北東岸にある世界最大のサンゴ礁地帯)	81	81
green	TRUE	[griːn]	K	Adjective	緑色(の)	1	1
grocery	FALSE	[gróusəri]	A	Noun	食料品	1	1
grocery store	FALSE	[gróusəri stɔ́ːr]	A	Noun	食料品店	132	132
grove	FALSE	[grouv]	A	Noun	木立, 小さな森	80	80
grow	FALSE	[grou]	B	Verb	成長する, 育てる	25	25
grow up	FALSE	—	—	—	育つ	1	1
guest	FALSE	[gest]	A	Noun	客, ゲスト	1	1
guide	TRUE	[gaid]	A	Noun	案内人, ガイド	1	1
guide	TRUE	[gaid]	B	Verb	案内する	85	85
guitar	TRUE	[gitάːr]	A	Noun	ギター	55	55
guitarist	FALSE	[gitάːrist]	A	Noun	ギター奏者	1	1
gym	TRUE	[dʒim]	A	Noun	体育館	1	1
gymnastics	FALSE	[dʒimnǽstiks]	A	Noun	体操, 体操競技	53	53
ha-ha	FALSE	[hɑːhɑ́ː]	C	Interjection	ははは, あはは	1	1
had	FALSE	[hæd, həd]	B	Verb	(have (持っている) の過去形・過去分詞)	1	1
hair	TRUE	[hɛər]	A	Noun	髪	102	102
half	FALSE	[hæf]	A	Noun	半分	1	1
half	FALSE	[hæf]	K	Adjective	半分の	1	1
Halloween	FALSE	[hæ̀louíːn]	A	Noun	ハロウィーン (All Saints' Day [万聖節] の前夜祭, 10月31日)	99	99
ham	TRUE	[hæm]	A	Noun	ハム	1	1
hamburger	FALSE	[hǽmbə̀ːrgər]	A	Noun	ハンバーガー	105	105
hamster	FALSE	[hǽmstər]	A	Noun	ハムスター	1	1
hand	TRUE	[hænd]	A	Noun	手	1	1
handball	FALSE	[hǽndbɔ̀ːl]	A	Noun	ハンドボール	131	131
handcraft	FALSE	[hǽndkræ̀ft]	A	Noun	手芸品, 手工芸品	88	88
handsome	FALSE	[hǽnsəm]	K	Adjective	ハンサムな	1	1
happen	FALSE	[hǽpən]	B	Verb	起こる	39	39
happy	TRUE	[hǽpi]	K	Adjective	幸福な, うれしい	1	1
Happy New Year!	FALSE	—	—	—	新年おめでとう	1	1
hard	TRUE	[hɑːrd]	G	Adverb	熱心に, 一生懸命に	1	1
hard	TRUE	[hɑːrd]	K	Adjective	難しい	1	1
hard	TRUE	[hɑːrd]	K	Adjective	つらい	66	66
harmonica	FALSE	[hɑːrmɑ́nikə]	A	Noun	ハーモニカ	131	131
harmony	FALSE	[hάːrməni]	A	Noun	調和, ハーモニー	1	1
has	FALSE	[hæz]	B	Verb	(have, has) を三人称単数で使う場合	1	1
hat	TRUE	[hæt]	A	Noun	(ふちのある) 帽子	1	1
hate	FALSE	[heit]	B	Verb	〜を憎む, 〜がいやである	1	1
have	TRUE	[hæv, həv]	B	Verb	持っている, 飼っている	1	1
have	TRUE	[hæv, həv]	B	Verb	食べる, 飲む	1	1
have	TRUE	[hæv, həv]	B	Verb	(病気など) にかかっている	1	1
have	TRUE	[hæv, həv]	M	Auxiliary verb	〜したことがある	52	52
have to ~	FALSE	—	—	—	〜しなければならない	52	52
don't have to ~	FALSE	—	—	—	〜する必要はない	52	52
have	TRUE	[hæv]	B	Verb	〜がある	1	1
hawk	FALSE	[hɔːk]	A	Noun	タカ	47	47
he	TRUE	[hiː]	E	Pronoun	彼は, 彼が	1	1
he'll	FALSE	[hiːl]	—	—	(he will の短縮形)	8	8
head	TRUE	[hed]	A	Noun	頭	1	1
headache	FALSE	[hédeik]	A	Noun	頭痛	30	30
health	FALSE	[helθ]	A	Noun	健康	1	1
